setting,model_slug,model_name,lang,acc,sample_count,result_path,result_mtime_ns,display_model,model_rank
include_base_44,gpt2,gpt2,urdu,0.3380681818181818,352,results_2026-05-23T00-19-53.083376.json,1779495593091724492,GPT-2,0
include_base_44,gpt2,gpt2,uzbek,0.42286751361161523,551,results_2026-05-23T00-19-53.083376.json,1779495593091724492,GPT-2,0
include_base_44,gpt2,gpt2,vietnamese,0.28,550,results_2026-05-23T00-19-53.083376.json,1779495593091724492,GPT-2,0
include_base_44,gpt2xl,openai-community/gpt2-xl,albanian,0.2776769509981851,551,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,arabic,0.22644927536231885,552,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,armenian,0.2690909090909091,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,azerbaijani,0.24452554744525548,548,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,basque,0.256,500,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,belarusian,0.2581818181818182,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,bengali,0.3029197080291971,548,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,bulgarian,0.23454545454545456,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,chinese,0.23853211009174313,545,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
